Msg,Label1
dubartoonni oromoo idil addunyaa walitti dhufuun walga'ii zoom kaleessa taasifachuu ibsan,10
dubartootni oromoo lafee qabsoo bilisummaa oromoo riqicha qabsoo bilisummaati,10
konfaransiin dubartoota oromoo idil addunyaa damee dubartootaa daa immaan ddd abon qophaawe zoom waxabajjii keekaa kaayyoo dhaabbateef gaggeeffatee darbeera,10
jaarmiyaan dubartoota oromoo dhimma oromiyaa oromoo gadi faginaan mari'ate ta'uu hime roorroo biyyattii saba oromoo gahaa jirutti daangaa gochuuf tarkaanfii barbaachisoo ta'an irratti marii godhee jira,10
dubartootni oromoo badii tokkko sabboonummaan oromoo yakkka tahee mana jireenyaa keessaa manneen barnootaa bakkka hojii qabamanii murtii mana murtii manaa murtiitti hin dhiyyannee dhibbootaan lakkkaawaman manneen hidhaa akkka qaallittii buraayyuu sabbataa galaan sandaafaa goleelee oromiyaa guutuu daa ima qabatanii hidhamuun gidiraa ulfaataa argaa jiran balaaleeffanna,10
dubartiin qabsoo oromoo abon geggeffamu keesssatti lafee dugdaa wareegama sadarkaa mara baasaa geenye fuula durattiis bilisummaan qooda galii gahuu akkka hin dendeenye hubannee caalaatti qindoofnee ijaaramnee abo jalatti hiriirree mirga ofiin bulchuu keenyaa mirkaneessuun cichominaan qabsoo gochuuf murteffanne,10
dubartootni miidhaa dachaa nurratti raawwataamaa jiru ifirraa kaasuuf hifannoo qoodaa qabsoon eegdu kamuu dachaa dachaan daballee waaroo cunqursaa daangaa gochuuf waadaa haaromsina,10
biyya hindiitti guyyaan dubartootaa mormiif lagannaa nyaataan kabajame,10
guyyaan dubatoota idil addunyaa bitootessa 8 kaleessa darbe biyyoota hedduutti mormii hiriiraan gaggeeffame,10
biyya hindii dubartoonni hedduun dhibbootaan lakkkaa'aman uffannaa keelloo wal fakkkaatu uffachuun mormii lagannaa nyaataan dabarsanii jiru,10
tookiyoo namichi dubartoota gammadoo arguun aarsa jedhe nama 10 aalbeen waraane,10
shakkkamaan 'dubartoota gammadoo arguun aarsa' jedhu magaalaa tookiyoo imaltoota baabura waliin turan 10 aalbeen waraane,10
shakkkamaan ganna 36 dubartoota gammadoo yoon argu aarsuuf ajjeesuun barbaada miidiyaalee biyyattiitu gabaase,10
reeffi daa immaniifi dubartootaa qarqara galaanaatti argamuun rifaatii uume,10
suurawwan reeffa daa immaniifi dubartoota galaana libyaa qarqara galaanaatti argamanii dhaabbataa gargaarsa ispeeniin qoodameera,10
tigiraay lakkkoobsi dubartootaa durboota miidhaan humnaan gudeeddii irratti raaw atame tokkkoo dhibba afur caaluu kanneen voan dubbise aangwoonni bulchiinsa yeroofii naannichaa beeksisanii jiran,10
guyyaa dubartootaa akkka idil addunyaatti kaleessa bitootessa 8 2021 irratti dubartoonni hiriira gaggeessan hiriira sanaan foolisii waliin walitti bu'iinsi uumame,10
dhiibbaa dubartoota gahu mormu hiriirichi dhiibbaan dubartoota gahu ajjeechaan dubartoota akkka dhaabbatu dhaadannoo dhageessisanii ture yakkka koorniyaan wal qabatu mootummaan raawwachuu akkka dhaabus gaafatanii turan,10
lixa shaggar liiban jaawwii daa'imni waraana mootummaan gudeedamuu bilbilaan himan,10
waraanni mootummaa daa'ima 12 hin guunne gudeeduu bilbilaan jiraataan dubbifne hime kunis ta'e lixa shaggar aanaa liiban jaawwii ta'uus jiraataan mirkaneesseera,10
ijoollee dhiiraa umuriin kudhanii ta'e ijumaa arguu jibbe waraanni mootummaa jedhan jiraatan gochaa waraana mootummaan uummata irratti raawwataa jiru akkkaan hawaasa aarsee haaloo baafannaatti oofaa akkka jiru kaasan,10
fiigicha siifan rikkkardii addunyaa fiigicha fageenya 10 000m dubartootaa atileet almaaz ayyaanaatiin qabamee ture sekondii 10 oliin foyyeessuun dursituu taatee jirti,10
atileet suifan hasan xumura fiigicha irrattis alaabaa oromoo kaasuun faajjii abo addunyaatti agarsiiftee jirti,10
guyyaa harra kolleejjiin barsiisota ciroo barsiisota 140 ta'an eebbisiisuu maddeen oduu miidiyaa mootummaa itoophiyaa ibsan kolleejjichi dhiira 114 dubartoota 26 eebbisiisuu maddeen gabaasaan,10
humnaan gudeeddiin tooftaan gaggeeffamuu dubartootaa shamarran dararanii miidhuuf oolee jira,10
dubartootaa shammarran irratti miidhaa saalaa gudeeddii gareedhaan loltoota itoophiyaafi eertiraatiin raawwataman irrattis gabaasonni jiru jedha aministiin ibsa,10
godinaalee lixa oromiyaa keessattis sadaasa 2020 kaasee hidhattoonni dhalattoota amaaraa irratti haleellaa raawwachaa turani jedheera gabaasichi,10
oromiyaa miidiyaa neetwoork hiriirri mormii guddichi dubartoota qofa hirmaachise baha oromiyaa magaalaa awwadaayitti guyyaa harra hagayyaa sa'aatii 'tti jalqabe jira,10
bakkkuma jirtanutti baga ayyaana dubartoota addunyaatiin gahe,10
guyyaa kabaja ayyaana dubartoota addunyaa ilaalchiisee ibsa kongireesii federaalawaa oromoo kfo kenname,10
dhiirafi dubartii hin jedhiin hawwaasi hundumtuu baga ayyaana dubartoota addunyaatiin gahekanaatiif bakkkuma jirtanitti baga ittiin gahe jenneera,10
qaammeen dhihaataa jira shamarran oromoo magaalaa finfinnee taaksii sirba qaammee shinooyyee sirban agartanii,10
torbee tokkkotti dubartiin lammaffaan bokooharaam jalaa miliqxe,10
shamarran 200 ganda chibook 7 hidhattoota bokooharaamiin butaman tokkko taate hasanaa adamuu hidhattoota harkaa miliquun maatii isheetti makamteetti,10
bara 2014 shamarran chibook mana barnootaa keessaa butamuun addunyaarratti dheekkkamsa guddaa kaasee ture,10
shamarran diimachuuf gogaa soofuun dirqama ta'e,10
addunyaa dubartoonni 'miidhagoo akkka ta'an qofa barbaadamu keessatti' miidhagsuudhaaf haarsaan hin kaffalamne hin jiru,10
shamarran uk suuraa quullaa agarsiisu akkka isaaniif ergan halkan tokkkotti dhiirota 11n gaafatamu jedha qorannoon,10
dubartootni afgaanistaan ragaa jireenya duraanii agarsiisu balleessaa jiru kunis ragaa ittiin barataa turanii hojjechaa turan dabalata,10
dubartiin tokkko akkka jettetti barattuudha akkkasumas miseensa saba hazaraa ajjeechaan irratti raawwate keessaati bbcti akkka himtetti abdiin hundinuu sodaatiin bakkka bu eera kunis aduu guyyoota muraasaa keessattidha,10
taaliibaan dubartootni barachuu hojjechuu manaallee qofaa bahuu akkka hin dandeenye amana,10
shamarran raayyaa qayya ulachuun miidhaginaaf tola jedhu,10
barattoonni shamarranii zimbaabwee qoricha ulfa dhorku fudhachuun akkka isaaniif eeyyamamu gaafatame,10
zibaabuweetti lakkkoofsi shamarran ganna 18 gadii garaatti hafuu ulfaa'uun daballaan gareewwan mirga dubartootaaf falman barattoonni kunneen eeyyama maatii qoricha ulfa dhorku argachuu qabu gaafachaa jiru,10
shamarran zimbaabuwee ganna 18 gaafa tahan heerumuu danda 16tti saal quunnamtiidhaaf eeyyama kennuu danda,10
shamarran oromoo lakkkoofsaan 30 ta'an 'waldaa dubartootaa finfinnee' jedhu moggaafatanii magaalaa finfinnee sabboonummaa oromoo dagaagsuuf hojjechaa jiru,10
'shamarran dhiphuu tokkko laguun dhufu daree seenanii akkkatti fayyadamaniif mari'anna '' jedhu barsiistuun mana barumsaa haroo,10
ilmi intala fuudhee intalli adiitti heerumtee mormiitu fudhattu,10
akkkasumas shamarran dhiira dargaggoonni shamarree waliin hariiroo jaalalaa ummattanii yaada isinirratti kennamu akkkamiin keessumeesitu,10
biyya hindii bihaar jedhamutti dhiirota kumaatamatu akkka fuudhanif waggaan butama,10
maatiin shamarran biyya hindii dhiibbaa aadaan gahuun ka'e misiirroo gaarii ijoolleessaniif argachuutu eegama,10
baha hindii bihaaritti nama akkkanaa argachuuf maatiin tokkko tokkko ijoollee dhiiraa butuuf dirqamu,10
dhiirri 17 rooshaan bara 2017 butamuun dirqiin sirna elaa akkka raawwatu taasifameera,10
shamarran ingilaand suuraa qullaa akkka erganiif halkan tokkkotti dhiirota 11n gaafatamuu qorannoon mul'ise,10
shammarran muudannoo akkkasii qaban mudate akkkasiin dhugaa bahu ,10
shamarran bara 2014 hidhattootni bookoo haaram mana barumsaati butan miliqan,10
shamarran naayijeeriyaa magaalaa chibook bara 2014 mana barumsaa keessaa hidhattoota bookoo haaraamiin butaman hedduun miliquu dhagahame,10
bara 2014 hidhattootni bookoo haaraam barattoota dubaraa 276 tahan mana barumsaa keessaa butan,10
waggoota jahan darbanitti mootummaan shamarran 100 tahan bookoo haaraam gadhiisisuu danda'eera,10
shamarran tiktok hiree adda addaa baneef,10
haayat naasir oomishaa dhaabbilee garaagaraa beeksisuun garasitti tiktok fiilmii tokkko irratti akkka hirmaattuuf carraa baneeraaf,10
shamarran 300 taa'an mana barnootaarraa kaaba dhihaa naayijeeriyaatti torbee darbe butamanii turan gadhifamaniiruu jedha hoogganaan naannicha,10
shamarran ija gurguddaa qaban bareeddota jedhamanii ilaalamu chaayinaatti iddoo kaanittoo,10
shamarreen chaayinaa tajaajila baqaqsanii yaaluun ijishee akkka gurguddaa tahuuf murteesite,10
gareen shamarranii afgaanistaan roobootii tolchan nagaan kaataar galan,10
garee shamarranii roobootii tolchan afgaanistaanii baasuuf muddama guyyaa baayyeef taasifameen nagaan kaataar galaniiru dhaabbanni hime,10
barnoota dubartootaa afgaanistaaniif fakkkeenya tahuun inaan leellifamaniiru,10
dhiironni naayijeeriyaa shamarraniif baasiii baasuu irratti maaliif fincilan,10
dhiironni asiin shamarran dabarsuuf qarshiisaanii dhangalaasuu dhiisuu kennaa gati jabeessa kennuu dhiisuufi qarshiisaanii dubartootaaf kennuu dhiisuu murteessan,10
dhiira naayijeeriyaa cimaa taeera dhiibbaa guddaati gaaa jira  jedha gazexeessan naajeeriyaa jiraatu fireed ittu'aa,10
dhiirti akkka maashinii qarshii dabarsuutti ilaallamuu hin qabu nulleen nama bashannansiisu barbaanna ,10
oromoon finfinnee gahee akkkamii qabaachuu qaba jedhurratti hojjenna shamarran oromoo finfinnee eenyummaa hin beekneefi oromummaa isaaniitti mataa hin qabannerratti hojjenna,10
teessuu waldichaa dubartoota finfinnee shamarree tigist kumsaa waldaan hundeessan kaayyoo biraa akkkamii fa'a qaba,10
 atileet siifan hasan shamarran oromoo gita idil addunyaatti milkaa'an keessaa tokkkodha,10
shamarran gitaarri jireenya daandiirraa kaasee,10
shamarran kunneen jireenya daaniidiirraa ka'uun muziqaa gitaaraa taphataa godaannisa jireenya namoota keessaas fayyisaa jiru,10
shamarran eertiraa lakkkuu ta'anii dhalatan dhagahuu dhabuun modeelota beekamoo ta'uu hin dhorkine,10
dhiironni qunxurroo furdifachuun shamarran darbee darbee teessuma gabbifachuun dhaga'amaa jira,10
poolisiin keeniyaa shamarran adeemoo interneetii gowwoomfamuun fudhataman bakkkasaan dhokfamanii baraaruu hime,10
gareen interneetii shamarraniif waadaa hedduu seenuun gowwoomsu waqtii weerara koronaavaayirasii akkka carraatti fayyadamuun hojjetaa ture jedha poolisiin,10
shamarran kunneen lakkkuu ta'an lamaanuu 7 irratti gurri dhaga'uu dide lamaanuu moodelistoota beekamoodha,10
shamarran naayijeeriyaa mana barumsaa dabaachi butamanii turan 110 keessaa 101 gadhiifamuun ibsame,10
dhirsa jaalallee hamaa ta'e akkkamiin adda baafachuun danda'amaa,10
taalibaan dubartootni burkaa akkka uffatan diqisiisuurra darbee gorra dhakaan tumee ajjeesaa ture waggoota 20 aangootti deebi'eera,10
taalibaan dubartoonni akkka seera islaamaatti akkka barataniifi hojjetan eeyyamna jedhus shamarreen afgaan tokkko  uffataafi areeda hin geeddarre akkkamiin yaada jijjiiruu danda '',10
sababoota ijoo taalibaan aangoo qabachuun yaaddoo uume keessaa tokkko dhimma dubartootaati,10
waggootii dheeraaf afgaanistaan dubartoonni haalaan rakkkatu,10
biyyoota dubartoonni jiraachuu rakkkatan keessaa tokkko afgaanistaanidha,10
qondaaltonni taalibaan biyyattii atanii ibsa guyyaa har jalqabaaf kennaniin akkkaataa shariyaatti mirgoonni dubartootaa kabajamu jedhaniiru,10
yugaandaatti seerri fiilmii saal quunnamtii dhorkuuf bahe haqame,10
mootummaan seera bara 2014'tti ture babal achuu fiilmii saal quunnamtii achuun dubartootaa daa imman eeguuf baase qeeqxonni seerichi akkka hojiirra ooleera jedhu,10
abbootiin seeraa shan kutaa seera fiilmiin saal quunnamtii yakkka jedhuufi uffannaa dubartootaa namuusa hin qabne dhorku heeraan murteessaniiru,10
dubartoonni waancaa injifachuun biyya boonsaa jiraatanis baayyeensaanii sababa dhaabbii qaamasaaniif heeruma hafaa jiru jedhan,10
mirgooti dubartootaa afgaanistaan  caasaa seera islaamaan kabajamu jedhe taalibaan ibsa miidiyaaf kenneen,10
 dubartoonni akkkaataa qajeelfama keenyaan akkka barataniifi hojjetan eeyyamna hawaasa dubartoonni hirmaannaa dammaqaa qabaatu jedhan dubartootni afgaanistaan yaaddoo guddaa qabu,10
siyaasa itoophiyaa ga'een dubartootaa hagami,10
paartilee siyaasaa oromoo keessattoo ga'een dubartootaa maal fakkkaata,10
paartilee morkattootaa qoodi dubartootaa eegamuudhaa,10
namichi dubartoota 'gammadoo arguun aarsa' jedhe nama 10 aalbeen waraane,10
addunyaan oromootiin beekti jettu falmattuun mirga namoonaa seenaa jimjimoon waldaa dubartootaa damboobduu foundation dhaabuudhaa waldaa dargaggoota oromoo addunyaa hundeessuu kanamalees wiixinee seeraa hr 128 bu uureessuu irratti hojjetteetti,10
dubartiin umrii 27 sanaa jedhamtu kanneen miidiyaa hawaasummaarratti iccitii qoodan keessaati,10
gareen shamarranii 2017tti wal dorgommii robotics ustti taasifame achuun ijoo dubbii tahuun baraman barnoota dubartootaa afgaanistaaniif fakkkeenya tahuun inaan leellifamaniiru,10
sifaan hasaan dorgommii meetira 10 000 dubartootaa olompiika tookiyoo injifatte,10
 liigiin kubbaa miilaa dubartootaa sa'udii arabiyyi hin turre,10
hoggantoonni amantaa tokkko tokkko dubartoota ispoortii hirmaachisuun wanta safuu cabsutti geessa akeekkkachisaa turan,10
dubartiin ganna 31 hatlool dubartoonni arabiyyi konkolaataa konkolaachisuun qabu falmuun beekamti,10
ganna 34 taate safaan guyyaa cidha qunname himtu guyyaa marsaa laguurra waanan tureef halkan wal quunnamtii saalaaf qophii hin turre '' jette,10
badhaasa barattuu cimtuu osa injifatte obsituu duubaa imala barnootaa dubartoonni cimina walitti fufinsaan agarsiisan akkka hin amanamne himti,10
gufuu cimaan dubartoota mudatu rakkkoo ilaalcha dogogoraa namoonni dubartootaaf qabanidha dubartoonni hojjetanii agarsiisanii amansiisuu qabu,10
keessaniitti bakkki warri dhiiraa akkka hin galle dhorkaman jiraa,10
biyya indoneshiyaatti bosonni dubartoota dhiironni galuuf hin hayyamamneef jira jedhu,10
shammarreen tokkko dhaadannoo ana hin ajjeesne sodaa jiraadha jedhu qabattee turte,10
dhimma wal'aansa fayyaa dubartoota ilaalchisee ifatti haasa'uun akkka dhimma safeeffatameetti hafuunsaa miidhaa qabaachu dubbatu fayyaa dubartootaa irratti duula jiran,10
fayyaa wal hormaataa dubartootaa haasa'uun maaf 'saalfachiisaa' ,10
'dubartoota aangeessuun guddina diingadee maatiif qofa hintaanee hawaasaa waliigalaa irratti dhiibbaa guddaa qaba' jetti addee dureettii taaddasaa,10
kaayyoon liigii dubartootaa kfo lamadha jedhu aadde dureettiin jalqabaa hirmaannaa dubartootaa siyaasa dabaluu lammataa mirgi dubartootaa gamaa garaagaraan jiru akkka kabajamu hojjechuudha jedhan,10
dubartii musliima indiyaa intarneetiirratti gurgurtaaf dhiyaatte,10
indiyaa dubartoonni amantaa islaamaa hordofan hedduun hinbeekiin eenyummaan appii balleessu irratti baha,10
dilbata darbe dubartoota musliimaa indiyaa hedduun onlaayinii gurgurtaadhaaf dhiyaachuu argan,10
dubartoota kanneen keessaa tokkko daandii qilleensaa daldalaa tokkkootti balaliiftuu xiyyaaraa taate haanaa khaan bbctti akkka himtetti hiriyyaan maxxansa tiwiitaraa tokkko qooddeef maqaanshee jiraachu hubachuu dubbatti,10
asteer astaar waanjikoo nama keeniyaati bara 2016tti abbaan warraashee du'een gursummaa ta'uun bu'aa bahii hamtuu daarbuu bbctti himte,10
miseensota waraanaa siwizarlaand hundaaf paantii dhiiraatu qoodamaa ture bal'achuurraa ka'es paantiin dubartootaaf mijataa hin turre,10
naayijeeriyaa dubartoota niqaaba uffatanii hojilee adda addaarratti hirmaatan arguun baratame miti,10
aminaat adegookee jedhamti dubartii musliimaa taatu hojii oomisha kopheerratti hirmaatti,10
dubartoota afriikaa kibbaa hin beekin akkka dhala hin godhanneef ujummoon gadaamessaa duraa guduunfame maal jedhu,10
dubartiin lammii naayijeeriyaa uggurri sodaa weerara koroonaavaayirasiif darbe akkkamitti jireenya akkka miidhe bbctti himte,10
ayishaan akkka jettutti jireenya isheef galii ittiin argattu hojii salqunnamtii fufuun barbaada uggurri dhorke jette,10
seerri musiliimaa shaariyaa jedhamu bara 2000 eegalee mootummaa kanoo keessattis hojiirra oolera,10
dubartoota hojii saalqunnamtii irratti bobba'aniif gargaarsi addatti hin jiru deeggarsi nuyi qabnu waldaa dubartoota saal qunnamtiin bulanii qofa jette ayishaan,10
hojiin aartii dhiyaate suuraalee viidiyoo jireenya dhugaa dubartoota 5 000 yunivarsiitii keessaa agarsiisa,10
hojiin mataduree ''fookkkistuu fokkkistuu'' uglier and uglier jedhuun bara 2013 dhiyaate dubartoota hacuuca jedhamee qeeqame,10
ogeettii xiin sammuu pirofeesar iloonaa kirooy dhiiroti foolii dubartootaa marsaa laguu keessaa qaamni hanqaaquu lakkkisuuf qophaa jiru jaalatu jedhu,10
 harmi guddifame dhukkkuba garaagaraaf saaxilamnaan wal aansaan banamu keemikaalli siilikan jedhamu dhangala ture murteen kuni dubartoota hedduuf haqa fida jedhameera,10
sa'uudii arabiyyi dubartoonni akkka dhiirotaa walabummaadhaan bakkka fedhan deemuu hin danda'an,10
sa'uudii arabiyyi dubartoonni akkka dhiirotaa walabummaadhaan bakkka fedhan deemuu hin danda'an dhiyeenya mootiin biyyattii jijjiirama fidaa jiraachuutu himama,10
sa'uudii arabiyyi bara darbe dubartoonni akkka isteedoomii seenanii akkka konkolaataa konkolaachisan iyyaman baranammoo kunoo garee kubbaa miilaa dubartootaa hundeessan,10
suuraaleen dubartoota 100 000 midiyaa hawaasummaa fudhatameefi qullaa jiran fakkkeessuun intarneeta gubbaatti qoodamuu gaabaasni haaraan mul,10
suuraa dubartootaa kanarraa wayyaan softiweerii hubannaa nam tolchee ai fayyadamuun balleefamee miidiyaa hawaasummaa telegraam irratti heddumminaan qoodameera,10
dubartoota caalaa dhiironni akkka ajjeesan quba qabduu,10
dubartoota 20 keessaa tokkko kittaanamti jedha tilmaamni,10
kittaani dubartootaa fedhii saal qunnamtii hir'isuu qofa hin dhala dhabuu dhukkkuboota kaaniifis saaxiluu danda'a,10
'akkka dawwaa caffaatti dubartiin qayya hin arfanne hinjirtu,10
'akkka dawwaa caffaatti dubartiin qayya hin arfanne hinjirtu akkkam jedheen hin aarfatiin dhiira bula '' jedhu aadde sittiinaa indiriis,10
dubartiin tokkko wayita dhiira lamatti heerumtu dhageessanii beektuu,10
naayijeeriyaa dubartiin tokkko dhiira lamatti heerumuusheetiin seera shari'aatiin adabamuuf jetti,10
dubartii anii imaamni dhiira fuudhan hojiirraa dhorkamaniiru,10
dubartii fakkkaachuun nama hijaaba uufatee heerume waliin torban lamaa turanii baran imaamichi hedduu  ,10
''abbaa manaakootiin durbummaakoo qaba jedhee akkkan himuuf harmeenkoo himteetti akkka nama qaana homaa hin beekne cimaa ture '',10
''kan ijoollee sagalii haadha manaa fuulduratti ajjeesan ijoollee durbaa shanii dhiira afur,10
haadhamanaa kiyyarraa warqii isheen qabdu hunda baafatanii deeman '' obbo balaay waaqjiraa nama ajjeechaa benishaangul gumuz godina matakalitti mudate irratti maatii nama 10 dhabuun ofiis rukutamanii lubbuun oolan,10
dubartiin zimbaabwee dhalootaan dhiira turte poolisii irratti ture himannaa dhiyeessite,10
waaqoo guutuu dhiira jeettiin dadhabe harra saaxiniin gadi qabe,10
haati warraa tokkko abbaa warraa hedduuf maaliif hin wixinee afrikaa kibbaa,10
mootummaan afrikaa kibbaa seera iila biyyatti deebiin ifoomsuuf adeemsarra jira jalqaba argamnu dhimmoota fooyya'iinsii irratti taasifamu danda jedheerrattis yaada dhiyaatee keessaa muraasaa kunooti,10
dubartiin tokkko takkkaatti dhiroota lamaafi waliin eela dhaabbachuu akkka dandeessu beekamtii kennuu jedhuudha,10
dubartoonni dhiira gabaabatu waliin jaalala hineegalan haadha warraa hinargadhu jedheen yaadda'a ture '' jedha saam beek,10
jiraataan niiw yoorkiifi dargaggoon 30 saam dheerina dabalachuuf kophee dheeraa keewwachuun amansiisuu didnaan wal'aansa attamii taasifate,10
arjantiinaan namoota saala lameeniin hin ibsineef waraqaa eenyummaa qopheessite,10
arjantiinaan namoota saala lamaaniin hin ibsineef sirna waraqaa eenyummaa biyyaalessaa haaraa jalqabuu ibsite,10
seera biyyaalessaa biyyattiin lammiileen arjantiinaa mirga saala kamiinuu ibsuu dhiisuu qabu,10
dubartoonni dahuu hin dandeenye hayyama doktara isaaniitiiin ulfeeffamanii daa'imman dhalataniif beenyaan dolaara miliyoona 13 dhiyaateef,10
daa'imman sanyii dhiiraa ispermii doktora ispermii dhiira hin beekamneen dhalatan abbaa sirrii akkka adda baafataniif qorannoon qaccee sanyii dna ittiin gaggeeffatan maallaqni ramadamaaf jedhameera,10
gaafatamaan bulchiinsaa nageenya magaalaa naqamtee obbo misgaanuu waqgaarii ajjeechaa gammachiis moosisaa waliin wal qabatu beeknu hin jiru jedhan,10
dubartiin naayijeeriyaa akkkamiin dhiira lamatti heerumte,10
dubartiin dhuguma waliin dhooftee dhiirota lamatti heerumteetti taanaan adabbii cimaatu eeggata seenaashee guutuu dubbisaa,10
ugguraa sababa weera koroonaavaayirasiin darbe dubartoonni attamiin dhiira miidhu waliin guyyaa guutuu mana turu,10
adunyaa irratti miidhaan dubartoota gahaa jiru akkka dabaletu himam,10
viidiyoon tokkko dubartiin qoloo qamisii diimaa uffattee teessuma konkolaataa dhiira tokkko waliin saal qunnamtii raawwatan mul'isa,10
poolisiin bara 2014 uffata dubartii uffachuun hoteelatti mana fincaanii dubartootaa galtee fayyadamteef to'achuun mana hidhaa galcheeni ture,10
aadde nataansan dhalootaan dhiira tahuun dhalatte saala jijjirrachuun dubartii taateetti,10
qoccollaan saalaa dhiira bareedaarraa dhufe hin dubbatanii dhiira fookkkisaa ta'e gabaafamaa dubbatanii ture,10
dhiira caalaa dubartootatti qorri dhagahama jedha qorannoon,10
ulfi ulfi hin barbaachisne karoora shamarran jireenyaaf qabanitti gufuu ta'a  jetti yuniversiitii finfinneetti kaadhimamtuun phd siyaannee anileyyi,10
hawwii xilaahun diplomaatii yunaaytid isteets braazilitti imalaa jirti,10
dargaggoonni shamarran rakkkoon mudatu abdii kutachuu hin qaban,10
aseesaa sirba qaameetti shamarran sirban,10
 shamarran afgaanistaan dorgommii roobootii addunyaa udhan beekamtii argatan umuriin 14 17 hojii lubbuu baayyee bararu irratti boba aniiru,10
 shamarran naayjeeriyaa mana barumsaatii hidhatootan butamanii turan gadhiifamuun himame,10
hoggantoonni biyyattii kutaa zamfaraa akkka jedhanitti dubartoonni 279 gadhiifaman maatii deebifamaniiru,10
faartuun adan intalli ilwaad elmaan bara 2010 jalqabee dubartootaa shamarran humnaan gudeeddiin irratti gaggeeffame walitti qabuun waaltaa somaaliyaa sisteers jedhamu hundeessuun gargaaraa turan,10
shamarran uffata aadaa bifa tokkkoon faayamanii ireecha hora finfinnee irratti hirmaatan finfinnee rooyters,10
dhalattoonni magaala dirree dawaa walitti dhufuudhan dhabbata shamarran harka qaleeyyiif meeshaa qulqullinaa dhiheessu obboleyti tiyyaaf jedhamu hundeessan shamarran 500 ta'aniif moodesii gumaachan,10
dubartoota magaalaa baadiyyaaf qarqaarsi kenname rakkkoo dubartoonni ifatti ibsachuuf ulfaataa ta'e furuu irratti gahee guddaa akkka qabu barattoonni sagantaa qophaahe irratti hirmaatan dubbataniiru,10
dubartoonni oromoo kallattii siyaasaa dinagee biroodhaan duratti mul achuu qab,10
naajeriyaa kaaba bahaa keessaa shamarran 276 ganda chibook jedhamtu keessaa butamanii hangi tokkko jalaa miliqanii warratti deebi,10
gaanaa haleellaa dubartootaa shamarran jiruuf gaafatamummaan dhabamuu mormuun magaalaa galama mootummaa taate akraa har qabsaa onni hiriiranii jiru,10
baatilee darban shan weerarrii vaayrasii koronaa dargaggootaa shamarran irratti dachaa sadiin dabaluu jaarmayaan fayyaa addunyaa gabaasee jira,10
pirezidaantiin naayjeeriyaa ijoollee durbaa 82 bokoo haraamiin iggitamanii gad dhiisaman waliin wal argan,10
ijoollee dubartoota dallaa utaalanii buufata xiyyaaraa idila addunyaa kaabul seenaan loltoonni yunaaytid isteets qarqaaran,10
tarkii magaala istaanbul dubartoonni guyyaa kaleessaa hiriira bahan poolisiidhan walitti bu,10
tarkii magaala istaanbul dubartoonni kumaan lakkkaawaman guraandhala 8 guyyaa dubartoota addunyaa sababeeffachudhan walghanis poolisiin gaazii ija imimmaaneessu facaasun hiriiricha bittinneessuu yaaleera,10
yeroo ammaa biyyoota 193 addunyaa iira jiraan biyyoota 21 qofatu dubartoota hoggansa aanaa qaba,10
biyyoota 193 keessaa 14 kaabineen mootummaa harki walakaan dubartoota,10
biyoota 193 keessaa 4 seera tumtoonni harki walakkkaan dubartoota,10
intalli pirezdaantii yunaaytid isteets donaald tiraamp ivaankaa tiraamp yaa diinagdee afrikaa hirmaannaa dubartootaa footyessuu irratti xiyyeefatu finfinneetti geggeeffamu irratti hirmaachuf itoophiyaa jirti,10
jilli aadaa nagaa dubartoota sudaan sirna siinqee daawwatan,10
jilli aadaa nagaa dubartoota sudaan godinaa lixaa magaalaa kofaleetti argamuudhaan sirna aadaa siinqee daawwatan,10
hoogganaan jila dubartoota aadaa nageenyaa sudaan proofeesar miikii hashaa bilii itiyoophiyaan wal dhibdeelee aadaa furuudhaan shaakala gaarii akkka qabdu dubbatan,10
akkka addunyaatti dubartoota 10 qofatuu hoogansa sadarkaa biyya bulchuu'rra jira,10
bitootessa 8 guyyaa dubartootaa addunyaa sababa godhachuudhaan dubartoota tokkkoon wal sinbarsiisna,10
lammii jarmanii seenaa dubartoota oromoo barreessan,10
artiist ilfinash qannootii qabee artiistonni dubartootaa geerraran hedduun maalif dubartiin hin geerrartuu gaafii jedhuun jalqaban,10
biyyoota guddachaa jiran keessaatti interneetii fayyadamuu teeknoolojii odeeffannoo keessaa qooda fudhachuu irratti gufuuwwan dubartoota mudatu mata duree jalatti kamisa boruu sagaleen ameerikaa voa anitaa borgi instiitut uudhan marii daqiiqaa 90 qopheessaniiru,10
mariin dubartoonni biyyoota hedduudhaa walitti dhufan irratti hirmaatan godina yunaaytid isteets filooridatti geggeeffama,10
tokkkummaa dubartoota oromoo kaanaadaa tdok walakeessa baatii guraandhalaatti dhukkkuuba koviid 19 dubartoota ilaaleen zumiin woorkshooppii tokkko gaggeessee ture,10
afgaanistaanitti dubartoonni ispoortii hirmaachuuf dhoowwan sadarkaa adda addaa jiraatullee shamarran magaala kaabul leenjii maarshaal aartii irratti hirmachuu jalqabaniiru,10
dhibba tokkko baatii hagayyaa dubartoonni yunaayitid isteetis akkka heera biyyattii keeyyata 19 jirutti mirga filachuu argatan,10
waltajjii miidiyaa dubartoota aafrikaa jajjabeessuuf hojjatu liids aafrikaa,10
dubartoota biyyoota guddataa jiran keessaa jajjabeesuuf prezidaant traamp maallaqa ramadan,10
ayyaana dubartootaa har ilaaleen keessumoota haasoofsiifnee jirra,10
